Year,Disaster Type,Disaster Subtype,Event Name,Country,ISO,Region,Continent,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI
1902,Volcanic activity,Ash fall,Mount Pelee,Martinique,MTQ,Caribbean,Americas,14.82N,61.17W,1902,5,8,1902,5,8,30000,,,,,,,2.963047785
1985,Volcanic activity,Ash fall,Nevado Del Ruiz,Colombia,COL,South America,Americas,4.895N,75.316W,1985,11,13,1985,11,13,21800,5000,7700,,12700,1000000,2720684,36.75546794
1902,Volcanic activity,Ash fall,Santa Maria,Guatemala,GTM,Central America,Americas,14.757N,91.552W,1902,10,24,1902,10,24,6000,,,,,,,2.963047785
1919,Volcanic activity,Ash fall,Mt. Kelud,Indonesia,IDN,South-Eastern Asia,Asia,7.937S,112.308E,1919,5,,1919,5,,5000,,,,,,,5.937491908
1951,Volcanic activity,Ash fall,Lamington,Papua New Guinea,PNG,Melanesia,Oceania,5.035S,150.383E,1951,1,15,1951,1,20,3000,,,,,,,8.889143356
1986,Volcanic activity,Ash fall,Lake Nyos,Cameroon,CMR,Middle Africa,Africa,6.441N, 10.288E,1986,8,24,1986,8,25,1746,437,10000,,10437,,,37.45311166
1963,Volcanic activity,Ash fall,Mt. Agung,Indonesia,IDN,South-Eastern Asia,Asia,8.342S, 115.508E,1963,1,3,1963,1,3,1584,,78000,,78000,,,10.46454239
1902,Volcanic activity,Ash fall,Mount Soufriere,Saint Vincent and the Grenadines,VCT,Caribbean,Americas,13.81N,61.18W,1902,5,7,1902,5,7,1565,,,,,,,2.963047785
1930,Volcanic activity,Ash fall,Mt. Merapi,Indonesia,IDN,South-Eastern Asia,Asia,7.54S,110.446E,1930,,,1930,,,1369,,,,,,,5.720961493
1911,Volcanic activity,Ash fall,Mount Taal,Philippines (the),PHL,South-Eastern Asia,Asia,14.002N,120.994E,1911,1,31,1911,1,31,1335,199,,,199,,,3.190974538
1931,Volcanic activity,Ash fall,Mt. Merapi,Indonesia,IDN,South-Eastern Asia,Asia,7.54S,110.446E,1931,12,13,1931,12,13,1300,,,,,,,5.208126299
1951,Volcanic activity,Ash fall,Mt. Merapi,Indonesia,IDN,South-Eastern Asia,Asia,7.54S,110.446E,1951,,,1951,,,1300,,,,,,,8.889143356
1902,Volcanic activity,Ash fall,Santa Maria,Guatemala,GTM,Central America,Americas,14.757N,91.552W,1902,4,8,1902,4,8,1000,,,,,,,2.963047785
1949,Volcanic activity,Ash fall,Purace,Colombia,COL,South America,Americas,2.32N,76.63W,1949,,,1949,,,1000,,,,,,,8.148381409
